id,address,address_norm
0,bahcelievler mahalle anafart cadde no 107,bahcelievler mahalle anafart cadde no 107
1,bagcilar mh 1001 sk no:5,bagcilar mahalle 1001 sokak no 5
2,altintepe mahalle aydin sok no12,altintepe mahalle aydin sokak no 12
3,merkez mahalle fatih caddesi no:22,merkez mahalle fatih caddesi no 22
4,ataturk mah yenimahalle sok 3,ataturk mahalle yenimahalle sokak 3
5,m.sinan mah cicek sokak no 15,m sinan mahalle cicek sokak no 15
6,cumhuriyet mah gul cadd. no 09,cumhuriyet mahalle gul cadde no 09
7,inonu mah karanfil sk 8,inonu mahalle karanfil sokak 8
8,barbaros mah 75 yil cad no 2,barbaros mahalle 75 yil cadde no 2
9,Bahcelievler Anafartalar Street 107,bahcelievler anafartalar sokak 107
10,Bagcilar 1001 Avenue 5,bagcilar 1001 cadde 5
11,Emek Mah. Lale Street No:4,emek mahalle lale sokak no 4
